id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
kuca-bezuk-boskoviceva-7-7,Kuća Bezuk,"Boškovićeva 7, 10000 Zagreb, Croatia",Boškovićeva 7,"Boškovićeva 7, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 7"",""normalized"":""Boškovićeva 7, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""7""}]","Kuća Jurja i Gize Bezuk u Boškovićevoj 7 sagrađena je 1913./1914. prema projektu Ede Šena. Reprezentativno pročelje obilježuju klasicistički i secesijski dekorativni elementi. Središnji, rizalitno istaknuti dio zgrade, flankiran je udvojenim pilastrima velikog reda, a u zoni mansardnog krova zaključen je trokutastim zabatom. Na krajnjim bočnim osima u prvome katu su plitki zaobljeni secesijski erkeri. Kuću je sagradilo građevno poduzeće Gjure Carneluttija.",Edo Šen,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-7?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva_7.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva_7.jpg,Unknown
kuca-cop-boskoviceva-18-18,Kuća Čop,"Boškovićeva 18 / Palmotićeva 36, 10000 Zagreb, Croatia",Boškovićeva 18 / Palmotićeva 36,"Boškovićeva 18, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 18"",""normalized"":""Boškovićeva 18, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""18""},{""raw"":""Palmotićeva 36"",""normalized"":""Palmotićeva 36, 10000 Zagreb, Croatia"",""street"":""Palmotićeva"",""house_number"":""36""}]","Kuća Čop na uglu Boškovićeva 18 /Palmotićeva 36 sagrađena je 1907. prema projektu Aladara Baranyaija (arhitektonski biro Benedik & Baranyai). Uglovnica ima tri kata, u prizemlju su trgovine. Fasadni plašt bio je ukrašen elementima klasicizirane secesije. Pročelja su kasnije purificirana. (MUO, AthenaPlus)",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/palmoticeva-36-boskoviceva-18?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva_18__22.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva_18__22.jpg,Unknown
kuca-ehrfort-boskoviceva-11-11,Kuća Ehrfort,"Boškovićeva 11 / Palmotićeva 34, 10000 Zagreb, Croatia",Boškovićeva 11 / Palmotićeva 34,"Boškovićeva 11, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 11"",""normalized"":""Boškovićeva 11, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""11""},{""raw"":""Palmotićeva 34"",""normalized"":""Palmotićeva 34, 10000 Zagreb, Croatia"",""street"":""Palmotićeva"",""house_number"":""34""}]","Kuća ing. Filipa Ehrforta na uglu Boškovićeva 11 /Palmotićeva 34 sagrađena je prema projektu arhitektonskog biroa Hönigsberg & Deutsch. Prema nacrtu iz 1896. godine dvokatnica je trebala biti izvedena s neobaroknim pročeljem, međutim, izvedena je 1903. s pročeljem u secesijskom stilu. Treći kat nadograđen joj je 1937. godine. (Lelja Dobronić, 1965:127)",Hönigsberg; Deutsch,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-11?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva%2011%20%201_ad20.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva%2011%20%201_ad20.jpg,Unknown
kuca-grunwald-boskoviceva-8-8,Kuća Grünwald,"Boškovićeva 8, 10000 Zagreb, Croatia",Boškovićeva 8,"Boškovićeva 8, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 8"",""normalized"":""Boškovićeva 8, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""8""}]",Kuća Ivana i Roze Grünwald u Boškovićevoj 8 sagrađena je 1910./1911. godine prema projektu Aladara Baranyaija (arhitektonski biro Benedik i Baranyai). Gotovo čitavo pročelje zgrade prekriveno je horizontalnom profilacijom. Ispod završnog vijenca uz balkone aplicirane su reljefne figuralne kompozicije. U središnjem dijelu između dvokatnih poligonalnih erkera smješten je plitki balkon. Erker je čest arhitektonski element u kasnosecesijskoj arhitekturi Aladara Baranyaija.,Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-8?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva%208%20%203_49cc.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva%208%20%203_49cc.jpg,Unknown
kuca-hinka-grunwalda-boskoviceva-2-2,Kuća Hinka Grünwalda,"Boškovićeva 2 / Strossmayerov trg 1, 10000 Zagreb, Croatia",Boškovićeva 2 / Strossmayerov trg 1,"Boškovićeva 2, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 2"",""normalized"":""Boškovićeva 2, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""2""},{""raw"":""Strossmayerov trg 1"",""normalized"":""Strossmayerov trg 1, 10000 Zagreb, Croatia"",""street"":""Strossmayerov trg"",""house_number"":""1""}]","Kuća Hinka Grünwalda na uglu Boškovićeva 2 /Strossmayerov trg 1 sagrađena je 1885./1886. prema projektu Ivana Plochbergera st. Gradnju je vodio Janko Jambrišak, jedan od najjačih zagrebačkih graditelja u ono vrijeme. Kod ove neorenesansne dvokatnice rizalitno su istaknute prve prozorske osi s udvojenim prozorima uz sami ugao zgrade, a zaključene su atikom s balustradama iznad krovnog vijenca. Uglovnice s kupolom na zaobljenom uglu okarakterizirale su kasnohistoricističku arhitekturu Zagreba. Upravo ova kuća je bila prva uglovnica u Zagrebu s tako riješenim uglom. Slavko Benedik izveo je dogradnju i pregradnju 1905., a Gjuro Carnelutti prigradnju dvorišnog trakta 1910. godine.",Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/strossmayerov-trg-1-boskoviceva-2?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Strossmayerov_trg_1_-_Bo%C5%A1kovi%C4%87eva_2__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/strossmayerov_trg_1_-_boskoviceva_2__1.jpg,Unknown
kuca-hirschl-boskoviceva-13-13,Kuća Hirschl,"Boškovićeva 13 / Palmotićeva 27, 10000 Zagreb, Croatia",Boškovićeva 13 / Palmotićeva 27,"Boškovićeva 13, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 13"",""normalized"":""Boškovićeva 13, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""13""},{""raw"":""Palmotićeva 27"",""normalized"":""Palmotićeva 27, 10000 Zagreb, Croatia"",""street"":""Palmotićeva"",""house_number"":""27""}]",Kuća Hirschl na uglu Palmotićeva 27 /Boškovićeva podignuta je 1910. godine prema projektu Otta Goldscheidera (arhitektonski biro Hönigsberg & Deutsch). Kasnosecesijska uglovnica s različito oblikovanim pročeljima. U arhitektonskoj kompoziciji vidljiva je asimetrija u pozicioniranju erkera i ritmu prozorskih otvora. Na trokatnici je 1938./1939. izvedena dvokatna terasasta nadogradnja prema izuzetno dobrom projektu Stjepana Planića. Radove je izveo ovlašteni graditelj Franjo Car.,Otto Goldscheider,https://www.arhitektura-zagreba.com/zgrade/palmoticeva-27-boskoviceva-13?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Palmoti%C4%87eva_27_1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/palmoticeva_27_1.jpg,Unknown
kuca-hirsl-boskoviceva-15-15,Kuća Hiršl,"Boškovićeva 15, 10000 Zagreb, Croatia",Boškovićeva 15,"Boškovićeva 15, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 15"",""normalized"":""Boškovićeva 15, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""15""}]","Kuća Miroslava Hiršla u Boškovićevoj 15 sagrađena je 1902. prema projektu arhitektonskog biroa Hönigsberg & Deutsch. To je ulična dvokatnica s pet prozorskih osi. U srednjem dijelu flankiranom s dva pilastra smješten je ulaz, a u krovnoj zoni bio je mansardni prozor sa zabatnim završetkom. Godine 1922. nadograđen je treći kat, a vjerojatno su uklonjeni i neki ornamentalni ukrasi pročelja. (Lelja Dobronić, 1965:127)",Hönigsberg; Deutsch,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-15?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva%2015%20%201_4b68.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva%2015%20%201_4b68.jpg,Unknown
kuca-josipa-lukasa-boskoviceva-20-20,Kuća Josipa Lukasa,"Boškovićeva 20, 10000 Zagreb, Croatia",Boškovićeva 20,"Boškovićeva 20, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 20"",""normalized"":""Boškovićeva 20, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""20""}]","Kuća Josipa Lukasa u Boškovićevoj 20 sagrađena je 1894. prema projektu Janka Josipa Grahora. Stambena jednokatnica imala je skromno pročelje, raščlanjeno s dva rubna rizalita i pet prozorskih osi, bez bogate arhitektonske dekoracije, karakteristične za kasni historicizam. Kuća je 1909. pregrađena i nadograđeni su joj drugi i treći kat, a pročeljem, vertikalno raščlanjenim s dva rubna erkera i središnjim rizalitom, prevladavaju elementi neobaroka i secesijski motivi.",Janko Josip Grahor,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-20?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva%2020%20%202_7072.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva%2020%20%202_7072.jpg,Unknown
kuca-kulmer-boskoviceva-1-1,Kuća Kulmer,"Boškovićeva 1 / Zrinski trg 10, 10000 Zagreb, Croatia",Boškovićeva 1 / Zrinski trg 10,"Boškovićeva 1, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 1"",""normalized"":""Boškovićeva 1, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""1""},{""raw"":""Zrinski trg 10"",""normalized"":""Zrinski trg 10, 10000 Zagreb, Croatia"",""street"":""Zrinski trg"",""house_number"":""10""}]","Kuća grofa Miroslava i grofice Elvire Kulmer na uglu Boškovićeva 1 /Zrinski trg 10 sagrađena je 1987./1888. prema projektu arhitekta Aleksandera Seća. Neorenesansna dvokatnica s reprezentativnim ulazom na središnjoj osi krila zgrade prema trgu, iznad kojega je plitki balkon oslonjen na stupove s korintskim kapitelima. Na uglu je dvokatni polukružni erker koji završava cilindričnim tornjićem s kupolom.",Aleksandar Seć,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-1-zrinski-trg-10?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva_1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva_1.jpg,Unknown
kuca-lea-sterna-boskoviceva-3-3,Kuća Lea Sterna,"Boškovićeva 3 / Petrinjska 22, 10000 Zagreb, Croatia",Boškovićeva 3 / Petrinjska 22,"Boškovićeva 3, 10000 Zagreb, Croatia","[{""raw"":""Boškovićeva 3"",""normalized"":""Boškovićeva 3, 10000 Zagreb, Croatia"",""street"":""Boškovićeva"",""house_number"":""3""},{""raw"":""Petrinjska 22"",""normalized"":""Petrinjska 22, 10000 Zagreb, Croatia"",""street"":""Petrinjska"",""house_number"":""22""}]",Kuća Lea Sterna na uglu Boškovićeva 3 /Petrinjska 22 sagrađena je 1906/1907. prema projektu arhitektonskog biroa Benedik i Baranyai. Izvorno je to bila secesijska dvokatnica na kojoj se ističu dva polukružna erkera na pročelju prema Boškovićevoj ulici. Dvokatni erkeri jednim su dijelom obloženi keramičkim pločicama. Treći kat s ravnim krovom prema dvorištu i mansardni krov prema ulicama kasnije je nadogradio Dionis Sunko.,Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/boskoviceva-3-petrinjska-22?ulica=boskoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Bo%C5%A1kovi%C4%87eva_3__11.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/boskoviceva_3__11.jpg,Unknown
