id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
burza-za-robu-i-vrednote-danas-hrvatska-narodna-banka-marticeva-2-2,"Burza za robu i vrednote, danas Hrvatska narodna banka","Martićeva 2 / Račkoga 1 / Trg hrvatskih velikana 3, 10000 Zagreb, Croatia",Martićeva 2 / Račkoga 1 / Trg hrvatskih velikana 3,"Trg hrvatskih velikana 3, 10000 Zagreb, Croatia","[{""raw"":""Martićeva 2"",""normalized"":""Martićeva 2, 10000 Zagreb, Croatia"",""street"":""Martićeva"",""house_number"":""2""},{""raw"":""Račkoga 1"",""normalized"":""Račkoga 1, 10000 Zagreb, Croatia"",""street"":""Račkoga"",""house_number"":""1""},{""raw"":""Trg hrvatskih velikana 3"",""normalized"":""Trg hrvatskih velikana 3, 10000 Zagreb, Croatia"",""street"":""Trg hrvatskih velikana"",""house_number"":""3""}]","Burza za robu i vrednote, danas Hrvatska narodna banka na Trgu hrvatskih velikana 3 /Račkoga 1 /Martićeva 2 sagrađena je 1923./1927. prema projektu Viktora Kovačića, na ulazu u tada novu gradsku četvrt. Nakon Kovačićeve smrti 1924. godine dovršenje gradnje preuzeo je Hugo Ehrlich u suradnji s Kovačićevim najbližim suradnikom/asistentom Alfredom Albinijem. prostorna dispozicija i kompozicija Kovačićevo su djelo, dok je unutarnji uređaj i opremu Ehrlich riješio samostalno, slijedeći Kovačićevu temeljnu ideju i načelne studijske skice. Klasično koncipirana palača svojom elegancijom, luksuznom izvedbom, plemenitim materijalima i uređenjem do danas je nenadmašeni primjer dostojanstvene reprezentativnosti, također ishodišni uzor neoklasične tendencije u našoj arhitekturi 1920-ih godina. Glavni prostori ulaznog vestibula, foajea, velike burzovne dvorane, sale gremija, sudnice, sjedničke dvorane burzovnog vijeća, biblioteke, u cijelosti su očuvani, dijelom također i namještaj ravnateljskih radnih kabineta. Posebno su atraktivni fasadna stolarija patenta “Nicolaus”, sustav klimatizacije i ventilacije burzovne dvorane, te sustav električnih satova koji je i danas u besprijekornom stanju. (Aleksander Laslo, 2011:66-67)",Viktor Kovačić,https://www.arhitektura-zagreba.com/zgrade/marticeva-2?ulica=trg-hrvatskih-velikana,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Marti%C4%87eva%202%20%201.1_5166.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/marticeva%202%20%201.1_5166.jpg,Unknown
dom-hrvatskih-likovnih-umjetnika-trg-zrtava-fasizma-bb-10000,Dom hrvatskih likovnih umjetnika,"Trg žrtava fašizma BB, 10000 Zagreb, Croatia",Trg žrtava fašizma BB,"Trg žrtava fašizma BB, 10000 Zagreb, Croatia","[{""raw"":""Trg žrtava fašizma BB"",""normalized"":""Trg žrtava fašizma BB, 10000 Zagreb, Croatia"",""street"":""Trg žrtava fašizma BB"",""house_number"":""""}]","Zgrada Doma hrvatskih likovnih umjetnika, slobodnostojeći jednokatni izložbeni paviljon, na Trgu žrtava fašizma BB sagrađena je 1934./1938. prema idejnom rješenju Ivana Meštrovića i tehničkoj razradi Harolda Bilinića i Lavoslava Horvata. Zgrada je 1942./1943. prenamijenjena i pregrađena u džamiju (Zvonimir Požgaj; fontana i minareti Stjepan Planić). 1947. prenamijenjena je u Muzej, ali zagrepčani ju još uvijek kolokvijalno zovu Džamija. U izvornom obliku, kao organska sinteza lapidarne skulpturalne monumentalnosti i virtuozne građevne tehnologije, unikatno je i kapitalno ostvarenje hrvatske moderne arhitekture. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Ivan Meštrović; Harold Bilinić; Lavoslav Horvat,https://www.arhitektura-zagreba.com/zgrade/trg-zrtava-fasizma-bb_1?ulica=trg-zrtava-fasizma,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20%C5%BErtava%20fa%C5%A1.%20BB%20%201_0b3c.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20zrtava%20fas.%20bb%20%201_0b3c.jpg,Unknown
dvorisna-kuca-perok-kavic-masarykova-9-9,Dvorišna kuća Perok-Kavić,"Masarykova 9/1, 10000 Zagreb, Croatia",Masarykova 9/1,"Masarykova 9, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 9"",""normalized"":""Masarykova 9, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""9""},{""raw"":""1"",""normalized"":""1, 10000 Zagreb, Croatia"",""street"":""1"",""house_number"":""1""}]","Dvorišna kuća Jele Perok i Marije Kavić u Masarykovoj 9/1 sagrađena je 1906. prema projektu Viktora Kovačića iz 1905. godine. Jednokatnice iz rane faze Kovačićevog samostalnog projektiranja kod koje se vidi da su pročelja gotovo u potpunosti lišena historicističkih dekorativnih elemenata. Na sjevernom pročelju uz glavni ulaz ističe se isturena stubišna vertikala, a na južnom pročelju polukružni erker i lođa. Jednostavno istočno pročelje rastvoreno je samo erker prozorom na katu.",Viktor Kovačić,https://www.arhitektura-zagreba.com/zgrade/masarykova-9-1?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%209-1%20%201_e5b7.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%209-1%20%201_e5b7.jpg,Unknown
gradska-gra-anska-skola-danas-farmaceutsko-biokemijski-fakultet-ante-kovacica-1-1,"Gradska građanska škola, danas Farmaceutsko-biokemijski fakultet","Ante Kovačića 1 / Gajeva 30, 10000 Zagreb, Croatia",Ante Kovačića 1 / Gajeva 30,"Ante Kovačića 1, 10000 Zagreb, Croatia","[{""raw"":""Ante Kovačića 1"",""normalized"":""Ante Kovačića 1, 10000 Zagreb, Croatia"",""street"":""Ante Kovačića"",""house_number"":""1""},{""raw"":""Gajeva 30"",""normalized"":""Gajeva 30, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""30""}]","Zgrada Gradske građanske škole, sagrađena je 1914. prema projektu Josipa Joanovića i Pavla Jušića. U Gajevoj ulici na broju 30 prije je bila privatna kuća koja je adaptirana za vojnu namjenu, a nakon što je na južnom dijelu parcele (kbr. 30A) sagrađena nova zgrada zapovjedništva (danas zgrada Državnog odvjetništva RH), gradska općina je od domobranskog erara kupila staru vojarnu i dio zemljišta, gdje je nakon rušenja stare vojarne sagrađena Građanska škola, koja je ubrzo prenamijenjena u Očnu kliniku. U zgradi klinike danas je Farmaceutsko-biokemijski fakultet. (Snješka Knežević)",Pavao Jušić; Josip Joannović,https://www.arhitektura-zagreba.com/zgrade/ante-kovacica-1-gajeva-30?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/A_Kovacica_1__11.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/a_kovacica_1__11.jpg,Unknown
hotel-dubrovnik-ii-gajeva-3-3,Hotel Dubrovnik II,"Gajeva 3, 10000 Zagreb, Croatia",Gajeva 3,"Gajeva 3, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 3"",""normalized"":""Gajeva 3, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""3""}]","Hotel Dubrovnik II u Gajevoj 3 nadograđen je uz stari Hotel Dubrovnik 1979./1982. prema projektu Ines i Nikole Filipovića. Na toj parceli prije se nalazila mala robna kuća s trgovinom tekstila i poslovnicom Ljubljanske banke. Vrlo uspjela interpolacija u prostor okružen vrhunskim ostvarenjima hrvatske moderne (zgrade Zakladnog bloka, Planićeva zgrada Napretkove zadruge, zgrada Shell Rudolfa Lubynskog). Pročelje zgrade obloženo je plavim reflektirajućim staklom s aluminijskim okvirima, a dinamizirano je zaobljenim istacima u punoj visini zgrade. Za ovu interpolacijuje Ines i Nikola Filipović dobili su godišnju nagradu “Viktor Kovačić” za najbolje pojedinačno ostvarenje u 1982. godini.",Nikola Filipović; Ines Filipović,https://www.arhitektura-zagreba.com/zgrade/gajeva-3?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_3__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_3__1.jpg,Unknown
hotel-esplanade-mihanoviceva-1-1,Hotel Esplanade,"Mihanovićeva 1, 10000 Zagreb, Croatia",Mihanovićeva 1,"Mihanovićeva 1, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 1"",""normalized"":""Mihanovićeva 1, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""1""}]","Hotel Esplanade u Mihanovićevoj 1 sagrađen je 1922./1925. prema projektu arhitekta Dionisa Sunka (Sunko & Jungmann). Realizacija projekta uslijedila je nakon afere s ishodom međunarodnoga pozivnog natječaja, na kojem je prvi plasman postigao berlinski arhitekt Otto Rehnig, a najsuvremenije rješenje ponudio “građanin svijeta” Adolf Loos. Raspisivač natječaja u novi je krug nadmetanja uz Rehniga pozvao Dionisa Sunka (koji se prethodno nije natjecao), no Rehnig je takvu mogućnost otklonio. Sunko je u svom projektu preuzeo Loosovu generalnu dispoziciju s gradacijom reprezentativnih hotelskih prostora, od svečane plesne dvorane, preko velike kavanske sale, do hotelske terase orijentirane na gradski park. Građevno tijelo koncipirano je u klasiciziranom izričaju, dok je unutarnje uređenje najvećim dijelom luksuzno opremljeno i namješteno u duhu art-déco stilizacije. Nakon višekratnih preuređenja, značajni dijelovi izvornog uređenja očuvani su u vestibulu, ovalnoj dvorani, hotelskim salonima u mezaninu, glavnom stubištu te u nekim elementima uređenja hotelske restauracije. (Aleksander Laslo, 2011:64)",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-1?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%201%20%201_9985.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%201%20%201_9985.jpg,Unknown
hotel-milinov-danas-hotel-dubrovnik-gajeva-1-1,"Hotel Milinov, danas Hotel Dubrovnik","Gajeva 1 / Trg bana Jelačića 16, 10000 Zagreb, Croatia",Gajeva 1 / Trg bana Jelačića 16,"Trg bana Jelačića 16, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 1"",""normalized"":""Gajeva 1, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""1""},{""raw"":""Trg bana Jelačića 16"",""normalized"":""Trg bana Jelačića 16, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""16""}]","Hotel Milinov, danas Hotel Dubrovnik, na uglu Gajeva 1 /Trg bana Jelačića 16 sagrađen je 1928./1929. prema projektu Dionisa Sunka (Sunko & Jungmann). Hotel Milinov je dobio naziv po prvom vlasniku - trgovcu Svetozaru Milinovu, a od 1940. vlasnik je postala Dubrovačka plovidba koja mu je dala današnji naziv. Zgrada hotela u donjem dijelu dizajnirana je u stilu art décoa, dok je gornji dio u duhu ekspresionizma. Na pročelju središnjeg dijela zgrade, prema Trgu, iznad prozora trećeg kata, postavljen je brončani kip Merkura (u rimskoj mitologiji bog trgovine i putovanja), koji je premješten sa srušene kuće trgovca Pavla Hatza, koju je na tome mjestu sagradio Bartol Felbinger. U toj kući nalazila se je poznata Velika kavana.",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/gajeva-1-trg-bana-jelacica-16?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_1_-Trg_bana_Jela%C4%8Di%C4%87a__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_1_-trg_bana_jelacica__1.jpg,Unknown
hotel-milinov-danas-hotel-dubrovnik-gajeva-1-1,"Hotel Milinov, danas Hotel Dubrovnik","Gajeva 1 / Trg bana Jelačića 16, 10000 Zagreb, Croatia",Gajeva 1 / Trg bana Jelačića 16,"Trg bana Jelačića 16, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 1"",""normalized"":""Gajeva 1, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""1""},{""raw"":""Trg bana Jelačića 16"",""normalized"":""Trg bana Jelačića 16, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""16""}]","Hotel Milinov, danas Hotel Dubrovnik, na uglu Gajeva 1 /Trg bana Jelačića 16 sagrađen je 1928./1929. prema projektu Dionisa Sunka (Sunko & Jungmann). Hotel Milinov je dobio naziv po prvom vlasniku - trgovcu Svetozaru Milinovu, a od 1940. vlasnik je postala Dubrovačka plovidba koja mu je dala današnji naziv. Zgrada hotela u donjem dijelu dizajnirana je u stilu art décoa, dok je gornji dio u duhu ekspresionizma. Na pročelju središnjeg dijela zgrade, prema Trgu, iznad prozora trećeg kata, postavljen je brončani kip Merkura (u rimskoj mitologiji bog trgovine i putovanja), koji je premješten sa srušene kuće trgovca Pavla Hatza, koju je na tome mjestu sagradio Bartol Felbinger. U toj kući nalazila se je poznata Velika kavana.",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/gajeva-1-trg-bana-jelacica-16?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_1_-Trg_bana_Jela%C4%8Di%C4%87a__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_1_-trg_bana_jelacica__1.jpg,Unknown
inzenjerski-dom-draskoviceva-15a-15a,Inženjerski dom,"Draškovićeva 15A / Račkoga 2 / Trg hrvatskih velikana 6, 10000 Zagreb, Croatia",Draškovićeva 15A / Račkoga 2 / Trg hrvatskih velikana 6,"Trg hrvatskih velikana 6, 10000 Zagreb, Croatia","[{""raw"":""Draškovićeva 15A"",""normalized"":""Draškovićeva 15A, 10000 Zagreb, Croatia"",""street"":""Draškovićeva"",""house_number"":""15A""},{""raw"":""Račkoga 2"",""normalized"":""Račkoga 2, 10000 Zagreb, Croatia"",""street"":""Račkoga"",""house_number"":""2""},{""raw"":""Trg hrvatskih velikana 6"",""normalized"":""Trg hrvatskih velikana 6, 10000 Zagreb, Croatia"",""street"":""Trg hrvatskih velikana"",""house_number"":""6""}]","Inženjerski dom na uglu Račkoga 2 /Trg hrvatskih velikana 6 /Draškovićeva 15A sagrađen je 1927. prema projektu Aladara Baranyaija (arhitektonsk biro Benedik i Baranyai). Autor je u Inženjerskom domu interpretirao zgradu Kovačićeve Burze, što je donekle uvjetovao i sličan položaj zgrade kojom su stvorene svojevrsne ""dveri"" istočnog Zagreba. Da je projektom Inženjerskog doma Baranyai zaista dobrim dijelom odustao od svojih uobičajenih i višestruko potvrđenih estetskih načela, svjedoči motiv četiri teška jonska stupa na pročelju zgrade, poput onih na pročelju Burze. Baranyai je u ovoj fazi djelovanja bio sklon primjeni klasičnih elemenata arhitekture, ali ih je rijetko upotrebljavao. U skladu s tradicionalnim zakonitostima kompozicija pročelja, motiv stupovlja obično je upotrebljavao tek u jednom dijelu pročelja, obično iznad prvog kata. Na Inženjerskom domu, međutim, dolazi do inverzije uobičajenog postupka, pa su katovi bez ikakvog ornamenta izuzevši tek one najviše, uključujući i mansardu. (Andreja Der-Hazarijan Vukić, 1995:37)",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/draskoviceva-15a?ulica=trg-hrvatskih-velikana,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ra%C4%8Dkoga%202%20Trg%20hrvatskih%20velikana%206%20%201.1_3c75.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/rackoga%202%20trg%20hrvatskih%20velikana%206%20%201.1_3c75.jpg,Unknown
kuca-adolfa-mullera-masarykova-10-10,Kuća Adolfa Müllera,"Masarykova 10, 10000 Zagreb, Croatia",Masarykova 10,"Masarykova 10, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 10"",""normalized"":""Masarykova 10, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""10""}]","Kuća građevinskog poduzetnika Adolfa Müllera u Masarykovoj 10, kao i kino “Balkan Palace” (danas “Europa”), te stambeno-najamna kuća u Miškecovom prolazu, sagrađeni su 1924./1925. u stambeno-poslovnom sklopu između Marovske i Samostanske ulice (danas Masarykove i Varšavske ulice), prema projektu Srećka Florschütza. Da bi što bolje iskoristio građevinsku parcelu, Florschütz je u sklopu navedenog zahvata planirao i pješačku ulicu prema njoj orijentirao manje reprezentativnu stambeno-najamnu kuću i kino. Pri oblikovanju pročelja stambeno-najamnih kuća orijentiranih na Masarykovu i Varšavsku (koja nije izvedena) koristio se neoklasicističkim elementima: pročeljem s četiri naglašena korintska stupa u sredini, trima jonskim pilastrima sa svake strane te velikim uvučenim zabatom postavljenim iznad prozora mansarde s rozetom. Taj neoklasicistički element u Masarykovoj 10 dignut je iznad mezanina, u tri etaže, da bi u prizemlju nesmetano realizirao prodajne prostore i javni pješački prolaz. Sama zgrada kina podijeljena je na prostor čekaonice, dvorane i na mali administracijski prostor. Ulaz u kino planiran je iz Miškecova prolaza. Pri projektiranju kina Florschütz je veliku pozornost pridao rješenju problema konstrukcije stropa velike dvorane i uređenju enterijera. Ispred ulaza u veliku dvoranu projektirao je dvije čekaonice: u prizemlju i na katu. Ćekaonice je uresio bogatim štukaturskim dekoracijama (kao i prostor dvorane), drvenim modeliranim stupovima i skulpturama, tj. postsecesijskim klasicističkim detaljima. (Jasenka Kranjčević)",Srećko Florschütz,https://www.arhitektura-zagreba.com/zgrade/masarykova-10?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2010%20%201_66ba.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2010%20%201_66ba.jpg,Unknown
