id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
kuca-albina-bedenka-or-iceva-19-21-19,Kuća Albina Bedenka,"Đorđićeva 19 - 21, 10000 Zagreb, Croatia",Đorđićeva 19 - 21,"Đorđićeva 19, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 19"",""normalized"":""Đorđićeva 19, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""19""},{""raw"":""Đorđićeva 21"",""normalized"":""Đorđićeva 21, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""21""}]",Kuća Albina Bedenka u Đorđićevoj 19-21 sagrađena je 1909. prema projektu Aladára Baranyija (arhitektonski biro Benedikt & Baranyai). Kasnosecesijska trokatnica s dva ulaza i dva plitka zaobljena erkera koji se protežu od prvog kata do krovnog vijenca. Erkeri i kombinacija glatke i zrnate žbuke na pročeljima zgrada karakteristični su Baranyaijevi oblikovni elementi.,Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/oriceva-19-21?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_19__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_19__1.jpg,Unknown
kuca-bauer-or-iceva-5-5,Kuća Bauer,"Đorđićeva 5, 10000 Zagreb, Croatia",Đorđićeva 5,"Đorđićeva 5, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 5"",""normalized"":""Đorđićeva 5, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""5""}]","Kuću Bauer, u Đorđićevoj 5, projektiralo je i sagradilo građevno poduzeće Pollak i Bornstein 1911./1912. Ugrađena trokatnica na krajnjim osima ima erkere, a pročelje je izrazito nakićeno neostilskim i stiliziranim secesijskim dekorativnim elementima. Izvor: MUO, AthenaPlus",Pollak; Bornstein,https://www.arhitektura-zagreba.com/zgrade/oriceva-5?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_5__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_5__1.jpg,Unknown
kuca-gustava-wellera-or-iceva-10-10,Kuća Gustava Wellera,"Đorđićeva 10, 10000 Zagreb, Croatia",Đorđićeva 10,"Đorđićeva 10, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 10"",""normalized"":""Đorđićeva 10, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""10""}]","Kuća Gustava Wellera u Đorđićevoj 10 sagrađena je 1885. godine prema projektu Kune Waidmanna. Na pročelju neorenesansne dvokatnice naglašeno je horizontalno raščlanjivanje profiliranim vijencima. Između vijenaca koji razdvajaju prizemlje i prvi kat je sgraffito friz, a okviri prozora prizemlja i prvog kata obogaćeni su pravokutnim istacima s tzv. uškama. Zona zida prvog i drugog kata obložena je narančastim i žutim opekama kariranog ornamenta. Prizemlje je obrađeno u plitkoj rustici, a krovni vijenac je ukrašen gustim nizom zubaca.",Kuno Waidmann,https://www.arhitektura-zagreba.com/zgrade/oriceva-10?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_10__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_10__1.jpg,Unknown
kuca-schwarz-or-iceva-7-7,Kuća Schwarz,"Đorđićeva 7, 10000 Zagreb, Croatia",Đorđićeva 7,"Đorđićeva 7, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 7"",""normalized"":""Đorđićeva 7, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""7""}]","Kuću Schwarz u Đorđićevoj 7 projektiralo je i sagradilo Građevinsko poduzeće Pollak, Albert i Bornstein 1911./1912. Ugrađena trokatnica na krajnjim osima ima trokatne erkere spojene na 3. katu balkonom, a pročelje je izrazito nakićeno neostilskim i stiliziranim secesijskim dekorativnim elementima. Izvor: MUO, AthenaPlus",Pollak; Albert; Bornstein,https://www.arhitektura-zagreba.com/zgrade/oriceva-7?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_7__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_7__1.jpg,Unknown
kuca-singer-or-iceva-11-11,Kuća Singer,"Đorđićeva 11, 10000 Zagreb, Croatia",Đorđićeva 11,"Đorđićeva 11, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 11"",""normalized"":""Đorđićeva 11, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""11""}]","Kuća Samojla i Hermine Singer u Đorđićevoj 11 sagrađena je 1909./1911. prema projektu Aladára Baranyija (arhitektonski biro Benedikt & Baranyai). Pročelje kasnosecesijske trokatnice obloženo je kombinacijom glatke i zrnate teksture žbuke, a središnjim dijelom kuće iznad ulaza dominira dvokatni erker koji je zaključen zaobljenim balkonom.",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/oriceva-11?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_11__2.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_11__2.jpg,Unknown
kuca-weller-or-iceva-6-6,Kuća Weller,"Đorđićeva 6, 10000 Zagreb, Croatia",Đorđićeva 6,"Đorđićeva 6, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 6"",""normalized"":""Đorđićeva 6, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""6""}]","Stambeno-poslovna najamna kuća Weller u Đorđićevoj 6 podignuta je 1930/1931. godine prema projektu Srećka Florschütza. Četverokatnica s ravnim krovom nastala je u razdoblju kada se Florschütz, nakon projektiranje u duhu postsecesijskog klasicizma, vraća modernizmu i u oblikovanju sve više upotrebljava ravne linije. Svojim ostvarenjima, pogotovu u prvoj fazi, pokazao je suvereno poznavanje modernih arhitektonskih kretanja. Tako kuće Jakoby i Kiseljak u Gajevoj 53 i 55 pripadaju vrlo kvalitetnim djelima zagrebačke arhitekture prvog desetljeća XX. stoljeća. (Jasenka Kranjčević -1)",Srećko Florschütz,https://www.arhitektura-zagreba.com/zgrade/oriceva-6?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_6__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_6__1.jpg,Unknown
kuca-weller-palmoticeva-28-28,Kuća Weller,"Palmotićeva 28 / Đorđićeva 12, 10000 Zagreb, Croatia",Palmotićeva 28 / Đorđićeva 12,"Palmotićeva 28, 10000 Zagreb, Croatia","[{""raw"":""Palmotićeva 28"",""normalized"":""Palmotićeva 28, 10000 Zagreb, Croatia"",""street"":""Palmotićeva"",""house_number"":""28""},{""raw"":""Đorđićeva 12"",""normalized"":""Đorđićeva 12, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""12""}]","Kuća Weller na uglu Đorđićeva 12 /Palmotićeva 28 podignuta je 1885./1887. prema projektu Kune Waidmanna za soboslikara i trgovca Gustava Wellera, oca arhitekta Gustava Welera ml. To je dvokatna neorenesansna uglovnica sa šest prozorskih osi na pročelju u Đorđićevoj, četiri na pročelju u Palmotićevoj, te jednom na tupom uglu. Prema izvornim nacrtima na uglu s trostranim rizalitom iznad krovnog vijenca zamišljen je tornjić, a prozori prvoga kata trebali su imati natprozornike u obliku segmentnog zabata, međutim gradska komisija to nije odobrila. Pročelja su izvedena sa skromnom arhitektonskom dekoracijom. Između konzola koje “nose” završni vijenac na svakoj osi probijeni su tavanski otvori. Lavlje glave iznad prizemnih prozora u funkciji su zaglavnog kamena.",Kuno Waidmann,https://www.arhitektura-zagreba.com/zgrade/oriceva-12-palmoticeva-28?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_12_-Palmoti%C4%87eva_28__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_12_-palmoticeva_28__1.jpg,Unknown
kuca-zadobosek-palmoticeva,Kuća Zadobošek,"Palmotićeva / Đorđićeva 15, 10000 Zagreb, Croatia",Palmotićeva / Đorđićeva 15,"Đorđićeva 15, 10000 Zagreb, Croatia","[{""raw"":""Palmotićeva"",""normalized"":""Palmotićeva, 10000 Zagreb, Croatia"",""street"":""Palmotićeva"",""house_number"":""""},{""raw"":""Đorđićeva 15"",""normalized"":""Đorđićeva 15, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""15""}]","Kuća Josipa Zadobošeka na uglu Đorđićeva 15 /Palmotićeva sagrađena je 1904. prema projektu arhitektonskog biroa Hönigsberg & Deutsch. Ugaona dvokatnica s duljim pročeljem u Đorđićevoj ulici (sedam prozorskih osi), a kraćim u Palmotićevoj ulici (tri prozorske osi). Na tupom uglu balkoni u prvom i drugom katu. Pročelje je ukrašeno neostilskim i stiliziranim secesijskim dekorativnim elementima. (Lelja Dobronić, 1965:127)",Hönigsberg; Deutsch,https://www.arhitektura-zagreba.com/zgrade/dordiceva-15?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva%2015%20-Palmoti%C4%87eva%20%201_cfab.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva%2015%20-palmoticeva%20%201_cfab.jpg,Unknown
stambena-zgrada-or-iceva-8-8,Stambena zgrada,"Đorđićeva 8, 10000 Zagreb, Croatia",Đorđićeva 8,"Đorđićeva 8, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 8"",""normalized"":""Đorđićeva 8, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""8""}]",Stambena zgrada u Đorđićevoj 8 podignuta je 1912./1914. prema projektu Gustava Wellera ml. Simetrično pročelje kasnosecsijske trokatnice bogato je vegetabilnom ukrasnom dekoracijom. Fasada je izvedena u kombinaciji glatke i zrnate žbuke. U središnjem dijelu pročelja iznad ulaza ističe se trokatni erker. Dvorišna krila imaju ravni krov.,Gustav Weller ml.,https://www.arhitektura-zagreba.com/zgrade/oriceva-8?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_8__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_8__1.jpg,Unknown
stambena-zgrada-or-iceva-8a-8a,Stambena zgrada,"Đorđićeva 8A, 10000 Zagreb, Croatia",Đorđićeva 8A,"Đorđićeva 8A, 10000 Zagreb, Croatia","[{""raw"":""Đorđićeva 8A"",""normalized"":""Đorđićeva 8A, 10000 Zagreb, Croatia"",""street"":""Đorđićeva"",""house_number"":""8A""}]","Stambena zgrada u Đorđićevoj 8A podignuta je 1912./1914. prema projektu Gustava Wellera ml. Kao i susjedna zgrada na kbr. 8 istoga projektanta i ova zgrada projektirana je u duhu kasne secesije. Krajnje prozorske osi na simetričnom pročelju blago su konveksno isturene i flankirane kaneliranim lezenama, a u krovnoj zoni zaključene zaobljenim zabatom - ornamentiranom atikom. Trokatni erkeri povezani su dugim balkonima s ogradom od kovanog željeza.",Gustav Weller ml.,https://www.arhitektura-zagreba.com/zgrade/oriceva-8a?ulica=djordjiceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/%C4%90or%C4%91i%C4%87eva_8a__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/dordiceva_8a__1.jpg,Unknown
