id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
gradska-gra-anska-skola-danas-farmaceutsko-biokemijski-fakultet-ante-kovacica-1-1,"Gradska građanska škola, danas Farmaceutsko-biokemijski fakultet","Ante Kovačića 1 / Gajeva 30, 10000 Zagreb, Croatia",Ante Kovačića 1 / Gajeva 30,"Ante Kovačića 1, 10000 Zagreb, Croatia","[{""raw"":""Ante Kovačića 1"",""normalized"":""Ante Kovačića 1, 10000 Zagreb, Croatia"",""street"":""Ante Kovačića"",""house_number"":""1""},{""raw"":""Gajeva 30"",""normalized"":""Gajeva 30, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""30""}]","Zgrada Gradske građanske škole, sagrađena je 1914. prema projektu Josipa Joanovića i Pavla Jušića. U Gajevoj ulici na broju 30 prije je bila privatna kuća koja je adaptirana za vojnu namjenu, a nakon što je na južnom dijelu parcele (kbr. 30A) sagrađena nova zgrada zapovjedništva (danas zgrada Državnog odvjetništva RH), gradska općina je od domobranskog erara kupila staru vojarnu i dio zemljišta, gdje je nakon rušenja stare vojarne sagrađena Građanska škola, koja je ubrzo prenamijenjena u Očnu kliniku. U zgradi klinike danas je Farmaceutsko-biokemijski fakultet. (Snješka Knežević)",Pavao Jušić; Josip Joannović,https://www.arhitektura-zagreba.com/zgrade/ante-kovacica-1-gajeva-30?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/A_Kovacica_1__11.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/a_kovacica_1__11.jpg,Unknown
hotel-dubrovnik-ii-gajeva-3-3,Hotel Dubrovnik II,"Gajeva 3, 10000 Zagreb, Croatia",Gajeva 3,"Gajeva 3, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 3"",""normalized"":""Gajeva 3, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""3""}]","Hotel Dubrovnik II u Gajevoj 3 nadograđen je uz stari Hotel Dubrovnik 1979./1982. prema projektu Ines i Nikole Filipovića. Na toj parceli prije se nalazila mala robna kuća s trgovinom tekstila i poslovnicom Ljubljanske banke. Vrlo uspjela interpolacija u prostor okružen vrhunskim ostvarenjima hrvatske moderne (zgrade Zakladnog bloka, Planićeva zgrada Napretkove zadruge, zgrada Shell Rudolfa Lubynskog). Pročelje zgrade obloženo je plavim reflektirajućim staklom s aluminijskim okvirima, a dinamizirano je zaobljenim istacima u punoj visini zgrade. Za ovu interpolacijuje Ines i Nikola Filipović dobili su godišnju nagradu “Viktor Kovačić” za najbolje pojedinačno ostvarenje u 1982. godini.",Nikola Filipović; Ines Filipović,https://www.arhitektura-zagreba.com/zgrade/gajeva-3?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_3__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_3__1.jpg,Unknown
hotel-milinov-danas-hotel-dubrovnik-gajeva-1-1,"Hotel Milinov, danas Hotel Dubrovnik","Gajeva 1 / Trg bana Jelačića 16, 10000 Zagreb, Croatia",Gajeva 1 / Trg bana Jelačića 16,"Trg bana Jelačića 16, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 1"",""normalized"":""Gajeva 1, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""1""},{""raw"":""Trg bana Jelačića 16"",""normalized"":""Trg bana Jelačića 16, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""16""}]","Hotel Milinov, danas Hotel Dubrovnik, na uglu Gajeva 1 /Trg bana Jelačića 16 sagrađen je 1928./1929. prema projektu Dionisa Sunka (Sunko & Jungmann). Hotel Milinov je dobio naziv po prvom vlasniku - trgovcu Svetozaru Milinovu, a od 1940. vlasnik je postala Dubrovačka plovidba koja mu je dala današnji naziv. Zgrada hotela u donjem dijelu dizajnirana je u stilu art décoa, dok je gornji dio u duhu ekspresionizma. Na pročelju središnjeg dijela zgrade, prema Trgu, iznad prozora trećeg kata, postavljen je brončani kip Merkura (u rimskoj mitologiji bog trgovine i putovanja), koji je premješten sa srušene kuće trgovca Pavla Hatza, koju je na tome mjestu sagradio Bartol Felbinger. U toj kući nalazila se je poznata Velika kavana.",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/gajeva-1-trg-bana-jelacica-16?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_1_-Trg_bana_Jela%C4%8Di%C4%87a__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_1_-trg_bana_jelacica__1.jpg,Unknown
kuca-arnold-gajeva-22-22,Kuća Arnold,"Gajeva 22, 10000 Zagreb, Croatia",Gajeva 22,"Gajeva 22, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 22"",""normalized"":""Gajeva 22, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""22""}]","Kuća Franje Arnolda u Gajevoj 22 podignuta je 1880./1882. prema projektu Kune Waidmanna. To je neorenesansna jednokatnica s osam prozorskih osi i portalom na središnjem rizalitu. Ističe se portalna zona s profiliranim unutarnjim okvirom sa zaglavnim kamenom i vanjskim okvirom s dvojnim pilastrima i trabeacijom s frizom metopa i triglifa. Prizemlje je obrađeno frizom dijamantnih kvadera i kvaderima u žbuci sve do oštro profiliranog vijenca prvoga kata. Zidna površina prvoga kata obložena je opekom. Friz završnog vijenca kasetasto je riješen, ukrašen je rozetama. Iznad visokog kamenog podnožja i teške rustike prizemlja prvi je kat lakši u profinjenom kontrastu renesansnih profilacija i tople, meke strukture pozadine od opeke. Ova je kombinacija jedna od specifičnih karakteristika njemačke renesanse. (Đurđica Cvitanović)",Kuno Waidmann,https://www.arhitektura-zagreba.com/zgrade/gajeva-22?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_22__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_22__1.jpg,Unknown
kuca-benko-gajeva-11-11,Kuća Benko,"Gajeva 11 / Teslina 5, 10000 Zagreb, Croatia",Gajeva 11 / Teslina 5,"Gajeva 11, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 11"",""normalized"":""Gajeva 11, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""11""},{""raw"":""Teslina 5"",""normalized"":""Teslina 5, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""5""}]","Kuća Josipa Benka na uglu Teslina 5 /Gajeva 11 sagrađena je kao jednokatnica 1867. prema projektu Ivana Plochbergera st. Obilježuje ju ranohistoricističko neostilsko oblikovanje pročelja. Drugi kat nadograđen je 1879. godine. (Lelja Dobronić -2, 1983:94)",Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/gajeva-11?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%205%20-Gajeva%2011%20%201_4088.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%205%20-gajeva%2011%20%201_4088.jpg,Unknown
kuca-biljan-gajeva-46-46,Kuća Biljan,"Gajeva 46, 10000 Zagreb, Croatia",Gajeva 46,"Gajeva 46, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 46"",""normalized"":""Gajeva 46, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""46""}]","Kuća Biljan u Gajevoj 46 sagrađena je 1904. godine prema projektu Aladara Baranyaija (arhitektonski biro Pilar, Mally & Bauda). To je dvokatnica s mansardnim krovom i ravnim krovom nad dvorišnim krilom. Uz secesijske dekorativne elemente pročelje obilježuje i kombinacija glatke i zrnate žbuke, što su karakteristični Baranyaijevi oblikovni elementi.",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/gajeva-46?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_46__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_46__1.jpg,Unknown
kuca-dr-katicica-gajeva-57-57,Kuća dr. Katičića,"Gajeva 57, 10000 Zagreb, Croatia",Gajeva 57,"Gajeva 57, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 57"",""normalized"":""Gajeva 57, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""57""}]","Kuća Irme i dr. Vladimira Katičića u Gajevoj 57 sagrađena je 1910. godine prema projektu Ignjata Fischera, a u realizaciji “Gradjevnog poduzetničtva Kaučić, Florschütz, Gyiketta”. Kasnosecesijska kuća s tri stana na svakoj etaži, s tim da je stan u prizemlju nešto manje kvadrature zbog kolnog ulaza. Pročelje je raščlanjeno bočnim polukružnim erkerima, a od dekorativnih elemenata aplicirane su tek uske crno-bijele keramičke trake.",Ignjat Fischer,https://www.arhitektura-zagreba.com/zgrade/gajeva-57?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_57__2.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_57__2.jpg,Unknown
kuca-emilije-slajmer-gajeva-33-33,Kuća Emilije Šlajmer,"Gajeva 33, 10000 Zagreb, Croatia",Gajeva 33,"Gajeva 33, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 33"",""normalized"":""Gajeva 33, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""33""}]","Kuća Emilije Šlajmer u Gajevoj 33 sagrađena je 1886. prema projektu arhitektonskog biroa Šafranek & Wiesner. Na neorenesansnoj jednokatnici s rustificiranim prizemljem ističe se pravokutni, gotovo potpuno ostakljeni erker na središnjem plitkom rizalitu. Prozori su uski, pravokutni, a prozori u prvom katu naglašeni su trokutastim zabatima. Simetričnost kuće narušava ulaz na prvoj sjevernoj osi.",Šafranek; Wiesner,https://www.arhitektura-zagreba.com/zgrade/gajeva-33?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_33__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_33__1.jpg,Unknown
kuca-filipa-jakobyja-gajeva-55-55,Kuća Filipa Jakobyja,"Gajeva 55, 10000 Zagreb, Croatia",Gajeva 55,"Gajeva 55, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 55"",""normalized"":""Gajeva 55, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""55""}]","Stambeno-najamna kuća Filipa Jakobyja u Gajevoj 55 sagrađena je 1910./1911. prema projektu Srećka Florschütza, arhitekta i partnera u arhitektonskom birou Kaučić-Florschütz-Gyiketta. Kao i kod susjedne kuće istoga arhitekta na kbr. 53 i na pročelju ove kasnosecesijske kuće dominiraju erkeri, samo što su ovi polukružni, a u dvorištu je još jedna kuća Jakoby. Obje kuće spadaju u bolja Florschützove ostvarenja.",Srećko Florschütz,https://www.arhitektura-zagreba.com/zgrade/gajeva-55?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_55__2.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_55__2.jpg,Unknown
kuca-hodovsky-gajeva-47-47,Kuća Hodovsky,"Gajeva 47, 10000 Zagreb, Croatia",Gajeva 47,"Gajeva 47, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 47"",""normalized"":""Gajeva 47, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""47""}]","Kuća Hodovsky u Gajevoj 47 sagrađena je 1909./1910. prema projektu Vjekoslava Bastla. Kasnosecesijska zgrada s pročeljem raščlanjenim balkonima s ogradom od kovanog željeza u prvom i drugom katu na krajnjim osima, a u središnjem dijelu plitkim poligonalnim erkerima. Krovni vijenac u središnjem dijelu kuće prerasta u izlomljeni zabat. Zgrada s dva stana na katu i dvokrakim stubištem karakterističan je tip zagrebačke najamne stambene zgrade.",Vjekoslav Bastl,https://www.arhitektura-zagreba.com/zgrade/gajeva-47?ulica=gajeva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_47__2.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_47__2.jpg,Unknown
