id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
dvorisna-kuca-perok-kavic-masarykova-9-9,Dvorišna kuća Perok-Kavić,"Masarykova 9/1, 10000 Zagreb, Croatia",Masarykova 9/1,"Masarykova 9, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 9"",""normalized"":""Masarykova 9, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""9""},{""raw"":""1"",""normalized"":""1, 10000 Zagreb, Croatia"",""street"":""1"",""house_number"":""1""}]","Dvorišna kuća Jele Perok i Marije Kavić u Masarykovoj 9/1 sagrađena je 1906. prema projektu Viktora Kovačića iz 1905. godine. Jednokatnice iz rane faze Kovačićevog samostalnog projektiranja kod koje se vidi da su pročelja gotovo u potpunosti lišena historicističkih dekorativnih elemenata. Na sjevernom pročelju uz glavni ulaz ističe se isturena stubišna vertikala, a na južnom pročelju polukružni erker i lođa. Jednostavno istočno pročelje rastvoreno je samo erker prozorom na katu.",Viktor Kovačić,https://www.arhitektura-zagreba.com/zgrade/masarykova-9-1?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%209-1%20%201_e5b7.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%209-1%20%201_e5b7.jpg,Unknown
kuca-adolfa-mullera-masarykova-10-10,Kuća Adolfa Müllera,"Masarykova 10, 10000 Zagreb, Croatia",Masarykova 10,"Masarykova 10, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 10"",""normalized"":""Masarykova 10, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""10""}]","Kuća građevinskog poduzetnika Adolfa Müllera u Masarykovoj 10, kao i kino “Balkan Palace” (danas “Europa”), te stambeno-najamna kuća u Miškecovom prolazu, sagrađeni su 1924./1925. u stambeno-poslovnom sklopu između Marovske i Samostanske ulice (danas Masarykove i Varšavske ulice), prema projektu Srećka Florschütza. Da bi što bolje iskoristio građevinsku parcelu, Florschütz je u sklopu navedenog zahvata planirao i pješačku ulicu prema njoj orijentirao manje reprezentativnu stambeno-najamnu kuću i kino. Pri oblikovanju pročelja stambeno-najamnih kuća orijentiranih na Masarykovu i Varšavsku (koja nije izvedena) koristio se neoklasicističkim elementima: pročeljem s četiri naglašena korintska stupa u sredini, trima jonskim pilastrima sa svake strane te velikim uvučenim zabatom postavljenim iznad prozora mansarde s rozetom. Taj neoklasicistički element u Masarykovoj 10 dignut je iznad mezanina, u tri etaže, da bi u prizemlju nesmetano realizirao prodajne prostore i javni pješački prolaz. Sama zgrada kina podijeljena je na prostor čekaonice, dvorane i na mali administracijski prostor. Ulaz u kino planiran je iz Miškecova prolaza. Pri projektiranju kina Florschütz je veliku pozornost pridao rješenju problema konstrukcije stropa velike dvorane i uređenju enterijera. Ispred ulaza u veliku dvoranu projektirao je dvije čekaonice: u prizemlju i na katu. Ćekaonice je uresio bogatim štukaturskim dekoracijama (kao i prostor dvorane), drvenim modeliranim stupovima i skulpturama, tj. postsecesijskim klasicističkim detaljima. (Jasenka Kranjčević)",Srećko Florschütz,https://www.arhitektura-zagreba.com/zgrade/masarykova-10?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2010%20%201_66ba.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2010%20%201_66ba.jpg,Unknown
kuca-antolkovic-masarykova-16-16,Kuća Antolković,"Masarykova 16, 10000 Zagreb, Croatia",Masarykova 16,"Masarykova 16, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 16"",""normalized"":""Masarykova 16, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""16""}]","Kuća Antolković u Masarykovoj 16 sagrađena je 1896. prema projektu Martina Pilara (arhitektonski biro Pilar, Mally & Bauda). Neobarokna dvokatnica s bogato dekoriranim pročeljem. Prozorske osi flankirane su dvokatnim korintskim pilastrima. Parapete velikih prozora prvoga kata zatvaraju balustrade, a iznad prozora, kao i kod lođe-balkona, aplicirane su kartuše u zaobljenim zabatima. Bifore u drugome katu. Prizemlje je preuređeno za lokale i izgubilo je izvorni izgled.",Martin Pilar,https://www.arhitektura-zagreba.com/zgrade/masarykova-16?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2016%20%201_c457.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2016%20%201_c457.jpg,Unknown
kuca-deutsch-masarykova-20-20,Kuća Deutsch,"Masarykova 20, 10000 Zagreb, Croatia",Masarykova 20,"Masarykova 20, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 20"",""normalized"":""Masarykova 20, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""20""}]",Trgovačko-stambena zgrada tvrtke “Ignjat Deutsch i brat” u Masarykovoj 20 sagrađena je 1910./1911. prema projektu Otta Goldscheidera (arhitektonski biro Hönigsberg & Deutsch). Kasnosecesijska trokatnica s po jednim četverosobnim stanom na katu i manjim najamnim stanovima u dvorišnom krilu na istočnom dijelu građevne parcele. Čitavom visinom pročelja iznad prizemlja ulične zgrade protežu se središnji pravokutni erker s po tri uska prozora i bočni plitki erkeri s identičnim prozorima. Uz lateralni kolni ulaz je lokal s velikim izlozima.,Otto Goldscheider,https://www.arhitektura-zagreba.com/zgrade/masarykova-20?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2020%20%201_3624.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2020%20%201_3624.jpg,Unknown
kuca-donner-masarykova-7-7,Kuća Donner,"Masarykova 7, 10000 Zagreb, Croatia",Masarykova 7,"Masarykova 7, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 7"",""normalized"":""Masarykova 7, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""7""}]","Kuća Donner u Masarykovoj 7 sagrađena je 1925. godine prema projektu Rudolfa Lubynskog. To je kuća s mansardnim krovom prema ulici, a ravnim krovom prema dvorištu i na dvorišnim krilima, koja su tlocrtno malo ukošena prema obliku parcele. Korištenjem neoklasicističkih elemenata pročelje je oblikovano u duhu 1920-ih. Uz trokatne pilastre i prozore drugoga kata koji završavaju zabatima ističu se masivni balkoni sa snažnim udvojenim volutastim konzolama.",Rudolf Lubynski,https://www.arhitektura-zagreba.com/zgrade/masarykova-7?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%207%20%201_71a9.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%207%20%201_71a9.jpg,Unknown
kuca-draganec-masarykova-5-5,Kuća Draganec,"Masarykova 5, 10000 Zagreb, Croatia",Masarykova 5,"Masarykova 5, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 5"",""normalized"":""Masarykova 5, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""5""}]","Kuća Ivana i Hedvige Draganec u Masarykovoj 5 sagrađena je 1905. godine prema projektu Aladara Baranyaija (arhitektonski biro Pilar, Mally & Bauda). Secesijska trokatnica s ravnim krovom i bogato dekoriranim pročeljem. Ističu se bočni dvokatni erkeri, vegetabilni motivi i neobarokne kartuše od kojih kartuše na drugome katu, uz rubove zgrade, imaju aplicirane inicijale vlasnika.",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/masarykova-5?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%205%20%201_59ec.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%205%20%201_59ec.jpg,Unknown
kuca-jakovac-skender-masarykova-13-13,Kuća Jakovac-Skender,"Masarykova 13, 10000 Zagreb, Croatia",Masarykova 13,"Masarykova 13, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 13"",""normalized"":""Masarykova 13, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""13""}]","Kuća Jakovac-Skender u Masarykovoj 13 sagrađena je 1928./1929. prema projektu Ivana Zemljaka. Kuća je nastala u vrijeme dok je Zemljak radio u projektnom odjelu gradskog poglavarstva, a prije njegovog odlaska na stručno putovanje u Nizozemsku, nakon kojega se posvetio oblikovanju školskih prostora na principima moderne arhitekture. Pročelje ove zgrade s dvoslivnim krovom i ravnim krovom na dvorišnim krilima rastvoreno je kvadratičnim prozorima na drugom, trećem i četvrtom katu, dok je prvi kat rastvoren velikim pravokutnim položenim prozorima. Prizemlje s lokalima i prvi kat obloženi su fasadnom opekom, a od tradicionalnih arhitektonskih dekorativnih elemenata na pročelju su zadržani tek krovni vijenac i snažni kordonski vijenci koji zatvaraju prvi kat.",Ivan Zemljak,https://www.arhitektura-zagreba.com/zgrade/masarykova-13?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2013%20%201.1_24ce.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2013%20%201.1_24ce.jpg,Unknown
kuca-kallina-gunduliceva-20-20,Kuća Kallina,"Gundulićeva 20 / Masarykova 19, 10000 Zagreb, Croatia",Gundulićeva 20 / Masarykova 19,"Gundulićeva 20, 10000 Zagreb, Croatia","[{""raw"":""Gundulićeva 20"",""normalized"":""Gundulićeva 20, 10000 Zagreb, Croatia"",""street"":""Gundulićeva"",""house_number"":""20""},{""raw"":""Masarykova 19"",""normalized"":""Masarykova 19, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""19""}]","Kuću Josipa Kalline na uglu Gundulićeva 20 /Masarykova 19 sagradilo je građevno poduzeće Gjure Carneluttija 1903./1904. godine prema projektu Vjekoslava Bastla, tada zaposlenog u arhitektonskom birou Hönigsberg & Deutsch. Kuća Kallina jedno je od najvažnijih ostvarenja zagrebačke secesije, a inspirirana je Wagnerovom bečkom “Majolika-Haus”. Bastl je studirao kod Otta Wagnera u Beču i 1902. se vratio u Zagreb, tako da mu je to bio jedan od prvih projekata za “Hönigsberg & Deutsch”. Pročelja kuće potpuno su obložena keramičkim pločicama prema zahtjevu investitora Josipa Kalline, koji je bio vlasnik tvornice keramike pa mu je to ujedno bila i reklama za glavni proizvod. Na zaobljenom uglu ističu se balkoni s ogradom od kovanog željeza i podnicom od armiranog stakla.",Vjekoslav Bastl,https://www.arhitektura-zagreba.com/zgrade/gunduliceva-20-masarykova-19?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2019%20%201.1_2cea.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2019%20%201.1_2cea.jpg,Unknown
kuca-kavic-masarykova-11-11,Kuća Kavić,"Masarykova 11, 10000 Zagreb, Croatia",Masarykova 11,"Masarykova 11, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 11"",""normalized"":""Masarykova 11, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""11""}]","Kuća Florijana Kavića u Masarykovoj 11 sagrađena je 1862. prema projektu Janka Jambrišaka. Uličnoj jednokatnici s pet prozorskih osi 1887. godine nadograđen je drugi kat. Pročelje je oblikovano u duhu ranog historicizma. (Lelja Dobronić -1, 1959:32)",Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/masarykova-11?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%2011%20%201_7ccc.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%2011%20%201_7ccc.jpg,Unknown
kuca-kogl-masarykova-2-2,Kuća Kögl,"Masarykova 2 / Preradovićeva, 10000 Zagreb, Croatia",Masarykova 2 / Preradovićeva,"Masarykova 2, 10000 Zagreb, Croatia","[{""raw"":""Masarykova 2"",""normalized"":""Masarykova 2, 10000 Zagreb, Croatia"",""street"":""Masarykova"",""house_number"":""2""},{""raw"":""Preradovićeva"",""normalized"":""Preradovićeva, 10000 Zagreb, Croatia"",""street"":""Preradovićeva"",""house_number"":""""}]","Kuću i ljekarnu predsjednika Hrvatsko-slavonskog ljekarničkog zbora mr. ph. Antuna Kögla na uglu Masarykova 2 /Preradovićeva projektirao je i realizirao arhitektonski atelijer Fischer & Hrubý 1897./1898. godine.［...］""U projektu fasadnog plašta Fischer & Hrubý koristili su hibridni vokabular neorenesanse i neobaroka. Ugao zgrade akcentuiran je erkerom na prvom katu, nad erkerom je balkon s neobaroknom balustradom, a na vrh je smješten raskošno ukrašen zabat s figuralnom grupom. Središnje mjesto u toj grupi, u skladu s nazivom ljekarne (“K angjelu”), ima figura anđela. Zabat s figurama nije izveden, a polufigura anđela smještena je nad samim ulazom u ljekarnu. Prizemlje rastvoreno velikim izlozima komunicira s obje ulice, Preradovićevom i Masarykovom, dodatno naglašavajući proširenje koje nastaje na njihovu križanju. Svoju kuću s ljekarnom Kögl je oporučno ostavio Hrvatskom farmaceutskom društvu (Ljekarnički dom).""¹ Izvor: ¹Marina Bagarić, 2011:47",Antonín Hrubý; Ignjat Fischer,https://www.arhitektura-zagreba.com/zgrade/masarykova-2?ulica=masarykova,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Masarykova%202%20%201_6a77.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/masarykova%202%20%201_6a77.jpg,Unknown
