id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
hotel-esplanade-mihanoviceva-1-1,Hotel Esplanade,"Mihanovićeva 1, 10000 Zagreb, Croatia",Mihanovićeva 1,"Mihanovićeva 1, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 1"",""normalized"":""Mihanovićeva 1, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""1""}]","Hotel Esplanade u Mihanovićevoj 1 sagrađen je 1922./1925. prema projektu arhitekta Dionisa Sunka (Sunko & Jungmann). Realizacija projekta uslijedila je nakon afere s ishodom međunarodnoga pozivnog natječaja, na kojem je prvi plasman postigao berlinski arhitekt Otto Rehnig, a najsuvremenije rješenje ponudio “građanin svijeta” Adolf Loos. Raspisivač natječaja u novi je krug nadmetanja uz Rehniga pozvao Dionisa Sunka (koji se prethodno nije natjecao), no Rehnig je takvu mogućnost otklonio. Sunko je u svom projektu preuzeo Loosovu generalnu dispoziciju s gradacijom reprezentativnih hotelskih prostora, od svečane plesne dvorane, preko velike kavanske sale, do hotelske terase orijentirane na gradski park. Građevno tijelo koncipirano je u klasiciziranom izričaju, dok je unutarnje uređenje najvećim dijelom luksuzno opremljeno i namješteno u duhu art-déco stilizacije. Nakon višekratnih preuređenja, značajni dijelovi izvornog uređenja očuvani su u vestibulu, ovalnoj dvorani, hotelskim salonima u mezaninu, glavnom stubištu te u nekim elementima uređenja hotelske restauracije. (Aleksander Laslo, 2011:64)",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-1?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%201%20%201_9985.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%201%20%201_9985.jpg,Unknown
kuca-dragutina-baude-mihanoviceva-38-38,Kuća Dragutina Baude,"Mihanovićeva 38, 10000 Zagreb, Croatia",Mihanovićeva 38,"Mihanovićeva 38, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 38"",""normalized"":""Mihanovićeva 38, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""38""}]","Secesijska kuća Dragutina Baude u Mihanovićevoj 38 sagrađena je 1903. prema projektu Lava Kalde (arhitektonski biro Pilar, Mally & Bauda). Prema projektu Amadea Carneluttija 1921. godine kući je preuređeno pročelje, nadograđen je treći kat s mansardnim krovom prema ulici i ravnim krovom prema dvorištu. (Snješka Knežević, 1996:539)",Lav Kalda,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-38?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2038%20%201_c234.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2038%20%201_c234.jpg,Unknown
kuca-hrvatske-banke-za-promet-nekretninama-mihanoviceva-32-32,Kuća Hrvatske banke za promet nekretninama,"Mihanovićeva 32, 10000 Zagreb, Croatia",Mihanovićeva 32,"Mihanovićeva 32, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 32"",""normalized"":""Mihanovićeva 32, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""32""}]","Kasnosecesijska kuća Hrvatske banke za promet nekretninama u Mihanovićevoj 32 sagrađena je 1908./1909. prema projektu Aladara Baranyaija (arhitektonski biro Benedik i Baranyai), koji je vjerojatno tek preradio postojeći projekt, na kome se vide obilježja Kaldina rukopisa. Benedik i Baranyai su gradnju te kuće preuzeli od građevnog poduzetništva “Kalda i Štefan, arhitekti i graditelji”, gdje je Lav Kalda bio partner i vodeći projektant. (Snješka Knežević -1)",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-32?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva_32__11.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva_32__11.jpg,Unknown
kuca-lustig-kumiciceva-10-10,Kuća Lustig,"Kumičićeva 10 / Mihanovićeva, 10000 Zagreb, Croatia",Kumičićeva 10 / Mihanovićeva,"Kumičićeva 10, 10000 Zagreb, Croatia","[{""raw"":""Kumičićeva 10"",""normalized"":""Kumičićeva 10, 10000 Zagreb, Croatia"",""street"":""Kumičićeva"",""house_number"":""10""},{""raw"":""Mihanovićeva"",""normalized"":""Mihanovićeva, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""""}]","Kuća Ivane Lustig na uglu Kumičićeva 10 /Mihanovićeva sagrađena je 1910./1911. prema projektu Viktora Kovačića (arhitektonski biro Ehrlich-Kovačić). Kuću je sagradila tvrtka “Kal­da i Šte­fan, ar­hi­tek­ti i gra­di­te­lji”. To je protomodernistička trokatnica s jednoslivnim kosim krovom prema ulicama i ravnim krovom prema dvorištu. Dekoracija pročelja je reducirana i suzdržana. Na rubovima kuće su trokatni trostrani erkeri, a ugao je riješen lođama koje su u Kumičićevoj ulici otvorene s po dvije arkade na katovima, a u Mihanovićevoj ulici s po jednom arkadom na svakom katu. Te lođe su kasnije zatvorene prozorima. Od arhitektonske dekoracije ističe se vijenac iznad prizemlja s nizom maskerona, a između prozora prvoga i drugog kata aplicirana su četiri romba s pozlaćenim bridovima koji su stepenasto uvučeni u fasadu. Iznad reprezentativnog ulaza s okvirima od kamena u Kumičićevoj ulici ističe se figuralni reljef, kao i drugi na fasadi između lođa prvoga i drugog kata na istom pročelju.",Viktor Kovačić,https://www.arhitektura-zagreba.com/zgrade/kumiciceva-10?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Kumi%C4%8Di%C4%87eva%2010-Mihanovi%C4%87eva%20%201_40db.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/kumiciceva%2010-mihanoviceva%20%201_40db.jpg,Unknown
kuca-mally-mihanoviceva-26-26,Kuća Mally,"Mihanovićeva 26, 10000 Zagreb, Croatia",Mihanovićeva 26,"Mihanovićeva 26, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 26"",""normalized"":""Mihanovićeva 26, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""26""}]","Kuću Mally u Mihanovićevoj 26 podiglo je 1900. građevno poduzetništvo Pilar, Mally i Bauda, vjerojatno prema projektu arhitekta Martina Pilara, jednog od partnera u poduzeću. Pročelje kasnohistoricističke dvokatnice bogato je ukrašeno arhitektonskom dekoracijom. Na krajevima se ističu plitki rizaliti koji su u funkciji disharmonije arhitektonske kompozicije i naglašavanja vertikalne podjele plohe pročelja da bi se postigla reprezentativnost. Specifičnost kuće je ravni krov, što je bilo neuobičajeno za to vrijeme, ali tada se eksperimentiralo formom krova pa su s ravnim krovom izvedene sve Pilarove kuće u Mihanovićevoj ulici (još i kbr. 28, 34 i 36 nap. autora). Izvor: Zlatko Jurić",Martin Pilar,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-26?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2026%20%201_88fd.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2026%20%201_88fd.jpg,Unknown
kuca-mally-mihanoviceva-28-28,Kuća Mally,"Mihanovićeva 28, 10000 Zagreb, Croatia",Mihanovićeva 28,"Mihanovićeva 28, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 28"",""normalized"":""Mihanovićeva 28, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""28""}]","Kuća Mally u Mihanovićevoj 28 sagrađena je 1898. prema projektu Martina Pilara. Vlasnik kuće Julio Mally bio je jedan od partnera, kao i Martin Pilar, u projektno-izvođačkom poduzeću Pilar, Mally & Bauda. Na neobaroknoj trokatnici zastupljene su sve odrednice kasnog historicizma od naglašenog središnjeg erkera do grube rustike u žbuki pročelja i završne balustrade iznad vijenca pročelja naglašene reprezentativnosti. Zanimljivo je da kuća ima ravni krov i da se kod nas već krajem 19. stoljeća eksperimentiralo formom krova. (Zlatko Jurić, 1994:162)",Martin Pilar,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-28?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2028%20%201_132f.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2028%20%201_132f.jpg,Unknown
kuca-moscon-ozegovic-mihanoviceva-14-14,Kuća Moscon-Ožegović,"Mihanovićeva 14, 10000 Zagreb, Croatia",Mihanovićeva 14,"Mihanovićeva 14, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 14"",""normalized"":""Mihanovićeva 14, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""14""}]","Kuća Ide Moscon-Ožegović na uglu Mihanovićevoj 14 /Haulikova sagrađena je 1911. prema projektu Huge Ehrlicha (arhitektonski biro Ehrlich-Kovačić). Za pročelja kuće karakteristična je trodjelna horizontalna raščlamba jednostavnim vijencima i plitko profiliranim udubljenim poljima između prozora, kao i asimetrični raspored otvora u odnosu na ugao. Plastika na ovoj zgradi je izrazitije naglašena onduliranom linijom fasade u pojasu prvoga i drugog kata i isturenim peterostranim erkerom u trećem katu. Ovaj erker kao karakterističan plastički motiv pročelja nije oblikovan poput reprezentativnih erkera na neobaroknim gradskim palačama, koji su u pravilu smješteni u prvom katu i stoje u relaciji prema intimnom mjerilu ulice, nego mu je svjesno dan karakter erkera vidikovca na vrhu gradskog bedema, s kojega se pogled pruža slobodno u daljinu. U odnosu na suzdržanu plastičku artikulaciju pročelja, ovaj “grubi” fortifikacijski motiv erkera unosi izvjestan duhoviti nesklad i javlja se u funkciji kontrastnog kompozicijskog elementa, kojim je postignuta stanovita “karakterna” napetost pročelja. (Domljan, 1979:73)",Hugo Ehrlich,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-14?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2014%20%201_4aeb.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2014%20%201_4aeb.jpg,Unknown
kuca-rubetic-gollner-mihanoviceva-18-18,Kuća Rubetić-Gollner,"Mihanovićeva 18, 10000 Zagreb, Croatia",Mihanovićeva 18,"Mihanovićeva 18, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 18"",""normalized"":""Mihanovićeva 18, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""18""}]","Kuća Andrije Rubetića i Julija Gollnera u Mihanovićevoj 18 sagrađena je 1907./1908. prema projektu Aladara Baranyaija (arhitektonski biro Benedik i Baranyai). Dvokatna interpolacija s polukružno istaknutim središnjim dijelom skladno oblikovanog pročelja sa stiliziranom geometrijskom secesijskom reljefnom profilacijom, tipičan je primjer stambeno-najamne kuće. Težište volumetrijske strukture pročelja je na polukružnom erkeru, a novi element je uvođenje engleskog tipa prozorskih otvora na razini prvog kata. Godine 1960.–1962. nadograđen joj je treći kat. (Jasna Galjer, 1997:175)",Aladár Baranyai,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-18?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2018%20%201_5556.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2018%20%201_5556.jpg,Unknown
kucu-dragutina-baude-mihanoviceva-36-36,Kuću Dragutina Baude,"Mihanovićeva 36, 10000 Zagreb, Croatia",Mihanovićeva 36,"Mihanovićeva 36, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 36"",""normalized"":""Mihanovićeva 36, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""36""}]","Kuću Dragutina Baude u Mihanovićevoj 36 sagradilo je 1899./1900. projektno-izvođačko poduzeće Pilar, Mally & Bauda, prema projektu Martina Pilara. To je najamna stambena kuća s maksimalnim zahtjevom udobnosti s jednim velikim peterosobnim stanom na katu i dvokrakim stubištem. Kuća Bauda ima posebno zanimljivo prostorno rješenje stana. Gospodarski prostori izdvojeni su u zasebni volumen prema dvorištu, a dvokrako stubište smješteno je posve uz rub parcele. Prvi je put uvedena značajna novost - prirodno osvijetljena velika predsoba, što će polovicom 20-tih i 30-tih godina 20. st. postati jedan od standardnih temeljnih elemenata zagrebačke stambene tipologije. Omogućena je bogata veranda na dvorišnoj strani. Nedostatak je nespretno smještena kupaonica prema stubištu bez prirodnog svjetla i prozračivanja.¹ Pročelje kuće dekorirano je neostilskim i secesijskim elementima, a ističe se središnji erker u prvome katu. Kao i sve Pilarove kuće u Mihanovićevoj ulici i ova kuća ima ravni krov. Izvor: ¹Zlatko Jurić, 1994:155",Martin Pilar,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-36?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2036%20%201_006d.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2036%20%201_006d.jpg,Unknown
kucu-izabele-senoa-mihanoviceva-16-16,Kuću Izabele Šenoa,"Mihanovićeva 16, 10000 Zagreb, Croatia",Mihanovićeva 16,"Mihanovićeva 16, 10000 Zagreb, Croatia","[{""raw"":""Mihanovićeva 16"",""normalized"":""Mihanovićeva 16, 10000 Zagreb, Croatia"",""street"":""Mihanovićeva"",""house_number"":""16""}]","Kuću Izabele Šenoa u Mihanovićevoj 16 podigao je 1906. arhitektonski biro Prister & Deutsch.¹ Kod secesijske dvokatnice ističe se asimetrično postavljen plitki rizalit u razini prvoga i drugog kata, koji u krovnoj zoni završava nepravilno oblikovanim zabatom, karakterističnim za secesiju. Izvor: ¹Snješka Knežević -1",Prister; Deutsch,https://www.arhitektura-zagreba.com/zgrade/mihanoviceva-16?ulica=mihanoviceva,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Mihanovi%C4%87eva%2016%20%203_0884.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/mihanoviceva%2016%20%203_0884.jpg,Unknown
