id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
kuca-jurja-petrica-ribnjak-30-30,Kuća Jurja Petrića,"Ribnjak 30, 10000 Zagreb, Croatia",Ribnjak 30,"Ribnjak 30, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 30"",""normalized"":""Ribnjak 30, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""30""}]","Zgrada Jurja Petrića na Ribnjaku 30 podignuta je 1931. godine prema projektu Mosesa Lorbera, glavnog projektanta i suvlasnika građevnog poduzeća “Lorber & Mevorah”, poduzeća koje je i sagradilo zgradu. To je protomodernistička trokatnica s jednostrešnim kosim krovom prema ulici i ravnim krovom prema dvorištu. Središnji katni dio pročelja rizalitno je istaknut. Od tradicionalnih arhitektonskih dekorativnih elemenata zadržani su tek istureni krovni vijenac, kasetiran u podgledu i friz ispod njega, koji je ornamentiran kontinuiranim nizom stiliziranih valova inspiriranih antičkim motivom “pasjeg skoka”. Ulazna drvena vrata s ukladama i nadsvjetlom dizajnirana su slično vratima na Lorberovoj kući Baričević u Martićevoj 25 iz 1928. godine.",Moses Lorber,https://www.arhitektura-zagreba.com/zgrade/ribnjak-30?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak_30__44.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak_30__44.jpg,Unknown
stambena-najamna-kuca-ribnjak-10-10,Stambena najamna kuća,"Ribnjak 10, 10000 Zagreb, Croatia",Ribnjak 10,"Ribnjak 10, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 10"",""normalized"":""Ribnjak 10, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""10""}]","Stambena najamna kuća u ulici Ribnjak 10 sagrađena je 1910./1913. prema projektu Srećka Florschütza. Na kući se vidi utjecaj modernizma, odnosno münchenskog školovanja, koji autor vješto prilagođava zagrebačkoj sredini. Kao i kod njegovih stambeno-najamnih kuća u Ilici 144 i Gajevoj 53 i 55 i kod ove kuće vidi se Florschützova sklonost ekspresionističko-apstraktnom oblikovanju.¹ U kući je bio kafić ""Papagaj"" koji je osamdesetih bio jedan od najpopularnijih u Zagrebu, a čiji je vlasnik bio proslavljeni hrvatski rukometaš Zlatko Žagmešter - Žaga. Izvor: ¹Jasenka Kranjčević -1",Srećko Florschütz,https://www.arhitektura-zagreba.com/zgrade/ribnjak-10?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%2010%20%201_4292.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%2010%20%201_4292.jpg,Unknown
stambena-zgrada-lebinec-ribnjak-20-20,Stambena zgrada Lebinec,"Ribnjak 20, 10000 Zagreb, Croatia",Ribnjak 20,"Ribnjak 20, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 20"",""normalized"":""Ribnjak 20, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""20""}]","Stambena četverokatnica Vilima Lebinca na Ribnjaku 20 sagrađena 1936./1938. prema projektu Slavka Löwyja.［...］”Hvaljena stambena kuća s naglašenom horizontalom pročelja nastaje kao ugrađena najamna kuća. Löwy u stvari radi dvostruki objekt na jedno stubište izuzetnog tlocrta. Strmi je teren prema Šalati omogućio dubinsku stepenastu izgradnju pa svaki kat u dvorišnom dijelu ima direktno pristupnu zelenu terasu. Bez obzira na izazov Löwy dosljedno primjenjuje funkcionalistički oblikovni koncept.”¹ Izvor: ¹Darja Radović Mahečić -5, 1995:77",Slavko Löwy,https://www.arhitektura-zagreba.com/zgrade/ribnjak-20?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%2020%20%201_c256.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%2020%20%201_c256.jpg,Unknown
stambena-zgrada-markulin-ribnjak-16-16,Stambena zgrada Markulin,"Ribnjak 16, 10000 Zagreb, Croatia",Ribnjak 16,"Ribnjak 16, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 16"",""normalized"":""Ribnjak 16, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""16""}]","Stambena zgrada Vladimira Markulina na Ribnjaku 16 sagrađena je 1936./1937. prema projektu Drage Iblera. To je četverokatnica s uvučenim prizemljem i krovnom terasom. Prostorno rješenje ove zgrade unikatna je interpretacija teme slobodnog plana s potpuno rastvorenim pročeljem, ali bez skeletne strukture. Uspjelim prostornim i strukturalnim eksperimentom i strogošću apstraktnog oblikovnog govora, ovo se djelo ubraja u antologijska ostvarenja modernizma internacionalnog stila. Osvjetljenje zatvorenog stubišta ostvareno je krovnim nadsvjetlom i ugrađenim staklenim valjkastim ulošcima u gazišta stepenica i podesta. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Drago Ibler,https://www.arhitektura-zagreba.com/zgrade/ribnjak-16?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%2016%20%201_f272.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%2016%20%201_f272.jpg,Unknown
stambena-zgrada-ribnjak-26-26,Stambena zgrada,"Ribnjak 26, 10000 Zagreb, Croatia",Ribnjak 26,"Ribnjak 26, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 26"",""normalized"":""Ribnjak 26, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""26""}]","Suvremena interpolacija na Ribnjaku 26 izvedena je 2022. prema projektu Davora Matekovića (arhitektonski ured Proarh) iz 2018 godine. To je stambena peterokatnica s lokalima u prizemlju.［...］""pročelje zgrade otvara se prema vizurama i štiti od buke prometa. Zato je tu izbor pročelja dvostruko stakleno pročelje radi zaštite od buke, ali s maksimalnim otvaranjima prema parku, pogledu na Kaptol i Katedralu te gornjogradske krovove. Erkeri su tu ekstrovertirani - otvoreni kao loggie, i oblikovno zasebni element u suprotnosti od ostatka pročelja"" - objasnio je arhitekt Mateković za Jutarnji list (Korana Sutlić, 05.10.2021.) Izvor: https://www.jutarnji.hr/domidizajn/interijeri/konacno-svjetski-spektakularna-nova-zgrada-arhitekta-davora-matekovica-u-centru-zagreba-15107590",Davor Mateković,https://www.arhitektura-zagreba.com/zgrade/ribnjak-26?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak_26__11.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak_26__11.jpg,Unknown
stambena-zgrada-sarutancek-ribnjak-6-6,Stambena zgrada Šarutanček,"Ribnjak 6, 10000 Zagreb, Croatia",Ribnjak 6,"Ribnjak 6, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 6"",""normalized"":""Ribnjak 6, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""6""}]","Stambena zgrada Šarutanček u ulici Ribnjak 6 sagrađena je 1936. godine prema projektu arhitektonskog biroa Freudenreich & Deutsch.¹ Modernistička trokatnica s dvostrešnim kosim krovom i tri prozorske osi od kojih je srednja balkonska. Prozorski otvori su veliki, horizontalno izduženi, osim srdišnjih u prizemlju zgrade. Izvor: ¹Wikipedija",Aleksandar Freudenreich; Pavao Deutsch,https://www.arhitektura-zagreba.com/zgrade/ribnjak-6?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%206%20%201_10af.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%206%20%201_10af.jpg,Unknown
stambena-zgrada-vladislovic-ribnjak-4-4,Stambena zgrada Vladislović,"Ribnjak 4, 10000 Zagreb, Croatia",Ribnjak 4,"Ribnjak 4, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 4"",""normalized"":""Ribnjak 4, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""4""}]",Stambena zgrada Vladislović u ulici Ribnjak 4 sagrađena je 1937. godine prema projektu arhitektonskog biroa Freudenreich & Deutsch.¹ Tokatnica s pročeljem Novoga građenja koje je rastvoreno trokrilnim prozorima horizontalnog formata od prvog do rećeg kata i kvadratičnim prozorima u prizemlju. Pročelje je gotovo lišeno arhitektonske dekoracije. Izvor: ¹Wikipedija,Aleksandar Freudenreich; Pavao Deutsch,https://www.arhitektura-zagreba.com/zgrade/ribnjak-4?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%204%20%201_2aa1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%204%20%201_2aa1.jpg,Unknown
stambeno-poslovna-zgrada-astre-ribnjak-12-14-12,Stambeno-poslovna zgrada Astre,"Ribnjak 12 - 14, 10000 Zagreb, Croatia",Ribnjak 12 - 14,"Ribnjak 12, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 12"",""normalized"":""Ribnjak 12, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""12""},{""raw"":""Ribnjak 14"",""normalized"":""Ribnjak 14, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""14""}]","Stambeno-poslovna zgrada Astre u ulici Ribnjak 12-14 sagrađena je 1969. prema projektu Venčeslava Lončarića, Krešimira Cimperšaka i Vjenceslava Richtera. Smještena uz kuću Markulin (Ribnjak 16), na mjestu dviju ruševnih prizemnica, zgrada se jedino visinom nadovezuje na tu čuvenu zgradu Drage Iblera iz 1937. godine. Nasuprot sjajno proporcioniranom fasadnom platnu Iblerove zgrade, nalazimo vrlo dinamičnu, razigranu fasadu od betonskih elemenata koji su u funkciji ograda stambenih lođa. Riječ je o konstruktivnom sustavu stupova i stropova s kliještima na kojima leže ogradni elementi. Konstruktivni elementi fasade oslanjaju se na sustave tesarskih detalja. Za realizaciju zgrade bili su potrebni opsežni zemljani radovi kao i izgradnja potpornog zida na dvorišnoj strani u visini od 14 metara. (Vera Grimmer) Izvor: Aleksander Laslo",Krešimir Cimperšak; Venčeslav Lončarić; Vjenceslav Richter,https://www.arhitektura-zagreba.com/zgrade/ribnjak-12?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%2012-14%20%201_c3fb.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%2012-14%20%201_c3fb.jpg,Unknown
stambeno-poslovna-zgrada-ribnjak-40-40,Stambeno-poslovna zgrada,"Ribnjak 40, 10000 Zagreb, Croatia",Ribnjak 40,"Ribnjak 40, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 40"",""normalized"":""Ribnjak 40, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""40""}]","Kod stambeno-poslovne zgrade na Ribnjaku 40 riječ je o prenamjeni i dogradnji već postojeće kuće prema projektu arhitektonskog biroa Studio BF (Boris Fiolić, Zoran Boševski i Mira Tadej-Crnković). Volumen kuće zadržan je u svojem osnovnom gabaritu i čini stereotomsku bazu zgrade, pri čemu je promijenjen oblik prozora u skladne vertikalne otvore. Baza kuće udomljuje poslovne prostore u konvencionalnom rasporedu, a na nju je interpolirana slobodnije komponirana kubična dogradnja sa stanom koji se razvija kroz tri etaže. Dogradnja je izvedena čeličnom nosivom konstrukcijom i slobodnom prostornom organizacijom, koja kulminira u atraktivnoj terasi s pogledom na park Ribnjak. Stari i novi dio građevine zadržavaju svoj integritet i kontrastni odnos kako u završnoj obradi, tako i u arhitektonskoj koncepciji. Preoblikovanje postojeće zgrade je istovremeno usklađeno s kontekstom kao što je i konceptualno i graditeljski svježe, te pokazuje metodu kreativne rekonstrukcije, oživljavanja i reafirmacije starih, a arhitektonski manje značajnih građevina. Sa stražnje strane kuće izveden je i ostakljeni paviljon. (Maroje Mrduljaš) Izvor: Aleksander Laslo, 2011:187",Studio BF,https://www.arhitektura-zagreba.com/zgrade/ribnjak-40?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%2040%20%201_ebd3.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%2040%20%201_ebd3.jpg,Unknown
zgrada-mikulicic-ribnjak-1-1,Zgrada Mikuličić,"Ribnjak 1 / Zvonarnička, 10000 Zagreb, Croatia",Ribnjak 1 / Zvonarnička,"Ribnjak 1, 10000 Zagreb, Croatia","[{""raw"":""Ribnjak 1"",""normalized"":""Ribnjak 1, 10000 Zagreb, Croatia"",""street"":""Ribnjak"",""house_number"":""1""},{""raw"":""Zvonarnička"",""normalized"":""Zvonarnička, 10000 Zagreb, Croatia"",""street"":""Zvonarnička"",""house_number"":""""}]","Palača Josipa Mikuličića na uglu Ribnjak 1 /Zvonarnička sagrađena je 1922./1923. prema projektu arhitekta Jurja Denzlera. Ostvarena je u pročišćenom arhitektonskom slogu elemenata reduciranoga klasicizma te spada među istaknuta ostvarenja zagrebačke arhitekture dvadesetih godina prošloga stoljeća, kojima je uobličeno važno zagrebačko područje podno Kaptola. Racionalnom je tlocrtnom dispozicijom dugih uličnih krila te konveksnog središnjeg dijela postignut arhitektonski maksimum iskoristivosti prostora, obogaćenog skladnim uličnim ozelenjenim predvrtom. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Juraj Denzler,https://www.arhitektura-zagreba.com/zgrade/ribnjak-1?ulica=ribnjak,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Ribnjak%201%20-Zvonarni%C4%8Dka%20%201_6432.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/ribnjak%201%20-zvonarnicka%20%201_6432.jpg,Unknown
