id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
kuca-banjanin-teslina-12-12,Kuća Banjanin,"Teslina 12, 10000 Zagreb, Croatia",Teslina 12,"Teslina 12, 10000 Zagreb, Croatia","[{""raw"":""Teslina 12"",""normalized"":""Teslina 12, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""12""}]","Kuću Danila Banjanina u Teslinoj 12 podigao je Janko Jambrišak 1861. godine. Jednostavno simetrično pročelje dvokatnice sa sedam prozorskih osi i vežom u sredini obilježuje mješavina klasicističkih i neorenesansnih elemenata arhitektonske dekoracije. Ističu se tek balustrade u parapetnim poljima prozora prvoga kata i krovni vijenac na konzolama. (Lelja Dobronić -1, 1959:34)",Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/teslina-12?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%2012%20%201_a244.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%2012%20%201_a244.jpg,Unknown
kuca-benko-gajeva-11-11,Kuća Benko,"Gajeva 11 / Teslina 5, 10000 Zagreb, Croatia",Gajeva 11 / Teslina 5,"Gajeva 11, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 11"",""normalized"":""Gajeva 11, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""11""},{""raw"":""Teslina 5"",""normalized"":""Teslina 5, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""5""}]","Kuća Josipa Benka na uglu Teslina 5 /Gajeva 11 sagrađena je kao jednokatnica 1867. prema projektu Ivana Plochbergera st. Obilježuje ju ranohistoricističko neostilsko oblikovanje pročelja. Drugi kat nadograđen je 1879. godine. (Lelja Dobronić -2, 1983:94)",Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/gajeva-11?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%205%20-Gajeva%2011%20%201_4088.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%205%20-gajeva%2011%20%201_4088.jpg,Unknown
kuca-betelheim-praska-10-10,Kuća Betelheim,"Praška 10 / Teslina 2, 10000 Zagreb, Croatia",Praška 10 / Teslina 2,"Praška 10, 10000 Zagreb, Croatia","[{""raw"":""Praška 10"",""normalized"":""Praška 10, 10000 Zagreb, Croatia"",""street"":""Praška"",""house_number"":""10""},{""raw"":""Teslina 2"",""normalized"":""Teslina 2, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""2""}]",Kuća Artura Betelheima na uglu Praška 10 /Teslina 2 sagrađena je 1873. prema projektu Janka Jambrišaka. To je neorenesansna dvokatnica tupoga ugla i jedno je od najboljih Jambrišakovih djela visokog historicizma. Krilu u Praškoj ulici dograđene su dvije prozorske osi 1890. godine.,Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/praska-10?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Pra%C5%A1ka%2010-Teslina%20%201.1_8d0e.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/praska%2010-teslina%20%201.1_8d0e.jpg,Unknown
kuca-grunwald-teslina-15-15,Kuća Grünwald,"Teslina 15, 10000 Zagreb, Croatia",Teslina 15,"Teslina 15, 10000 Zagreb, Croatia","[{""raw"":""Teslina 15"",""normalized"":""Teslina 15, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""15""}]","Kuća Grünwald u Teslinoj 15 sagrađena je 1890. prema projektu arhitektonskog biroa Hönigsberg & Deutsch. Ulična dvokatnica s rizalitno izbočenim srednjim dijelom s triforama u drugom katu i kupolom nad njim. Na krilima po tri prozorske osi. Godine 1940. uklonjena kupola i svi ornamentalno-plastički ukrasi pročelja. (Lelja Dobronić, 1965:133)",Hönigsberg; Deutsch,https://www.arhitektura-zagreba.com/zgrade/teslina-15?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%2015%20%201_cf19.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%2015%20%201_cf19.jpg,Unknown
kuca-halm-teslina-1-1,Kuća Halm,"Teslina 1 / Zrinski trg 20, 10000 Zagreb, Croatia",Teslina 1 / Zrinski trg 20,"Teslina 1, 10000 Zagreb, Croatia","[{""raw"":""Teslina 1"",""normalized"":""Teslina 1, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""1""},{""raw"":""Zrinski trg 20"",""normalized"":""Zrinski trg 20, 10000 Zagreb, Croatia"",""street"":""Zrinski trg"",""house_number"":""20""}]","Kuća pekara Aloisa Halma na uglu Teslina 1 /Zrinski trg 20 sagrađena je kao neorenesansna jednokatnica 1858./1859. prema projektu Janka Nikole Grahora. Nadogradnja drugoga kata za novog vlasnika baruna Metela Ožegovića izvedena je 1880., a adaptaciju prizemlja za dućan izveli su “Šafranek & Wiesner” 1893. godine. Nadogradnja trećega kata i preoblikovanje pročelja u secesijskom stilu izvedeno je 1903./1904. za novog vlasnika ljekarnika Hinka Brodjovina prema projektu Karla Greinera (Greiner & Waronig). U uglovnom dijelu prizemlja 1890. godine smještena je ljekarna koja od tada kontinuirano radi, a samo su se mijenjali vlasnici i nazivi ljekarne.",Janko Nikola Grahor; Karl Greiner,https://www.arhitektura-zagreba.com/zgrade/teslina-1?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%201%20-Zrinski%20trg%2020%20%201_15fe.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%201%20-zrinski%20trg%2020%20%201_15fe.jpg,Unknown
kuca-kotur-teslina-14-14,Kuća Kotur,"Teslina 14, 10000 Zagreb, Croatia",Teslina 14,"Teslina 14, 10000 Zagreb, Croatia","[{""raw"":""Teslina 14"",""normalized"":""Teslina 14, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""14""}]","Kuća Kotur u Teslinoj 14 sagrađena je 1861. prema projektu Janka Jambrišaka. To je bila ulična dvokatnica s devet prozorskih osi i vežom u sredini. Kasnije je nadograđen treći kat i izvršene su promjene na fasadi. (Lelja Dobronić -1, 1959:34)",Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/teslina-14?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%2014%20%201_40c2.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%2014%20%201_40c2.jpg,Unknown
kuca-nikolic-teslina-10-10,Kuća Nikolić,"Teslina 10, 10000 Zagreb, Croatia",Teslina 10,"Teslina 10, 10000 Zagreb, Croatia","[{""raw"":""Teslina 10"",""normalized"":""Teslina 10, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""10""}]","Kuća Nikole Nikolića u Teslinoj 10 sagrađena je 1860. godine vjerojatno prema projektu Michaela Strohmayera ili Ivana Plochbergera st. Do 1952. ulica se prema vlasniku te kuće, uglednom trgovcu, zvala Nikolićeva ulica. Pročelje je do danas zadržalo izvorni izgled, osim prizemlja koje je kasnije preuređeno za lokale.［...］”Ta trokatnica, određena za carinu i skladište duhana, - vlasnik je tek naknadno dobio građevnu dozvolu od “graditeljskog i vatrogasiteljnog odbora” - pokazuje fasadu u uzanim pilastrima, vijencima i do prozora svakojakim ornamentima: u donjem se dijelu pokazuje već pritajena rustika.”¹ Izvor: ¹Szabo, 2012:70",Mihovil Strohmayer; Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/teslina-10?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%2010%20%201_492d.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%2010%20%201_492d.jpg,Unknown
kuca-nikolic-teslina-8-8,Kuća Nikolić,"Teslina 8, 10000 Zagreb, Croatia",Teslina 8,"Teslina 8, 10000 Zagreb, Croatia","[{""raw"":""Teslina 8"",""normalized"":""Teslina 8, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""8""}]","Kuću Vasila Nikolića u Teslinoj 8 podigao je prema vlastitom projektu Janko Jambrišak 1876. godine. To je neorenesansna dvokatnica sa šest prozorskih osi i simetričnom kompozicijom fasade. Ističu se krajnje prozorske osi s kolnim ulazima iznad kojih su prozori flankirani pilastrima. U središnjem dijelu fasada je ukrašena horizontalnim kanalićima. U prizemlju je rustika. (Lelja Dobronić -1, 1959:33)",Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/teslina-8?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%208%20%202_223b.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%208%20%202_223b.jpg,Unknown
kuca-ozegovic-teslina-3-3,Kuća Ožegović,"Teslina 3, 10000 Zagreb, Croatia",Teslina 3,"Teslina 3, 10000 Zagreb, Croatia","[{""raw"":""Teslina 3"",""normalized"":""Teslina 3, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""3""}]","Kuća baruna Metela Ožegovića u Teslinoj 3 sagrađena je 1880. prema projektu Ivana Plochbergera st. To je dvokatnica sa sedam prozorskih osi u fronti i ulazom u sredini, nad kojim je smješten grb. Nad prozorima prvog kata konzole drže izbočene zabate, nad prozorima drugoga kata nalaze se znatno jednostavniji arhitravi. (Lelja Dobronić -2, 1983:94)",Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/teslina-3?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%203%20%201_9f62.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%203%20%201_9f62.jpg,Unknown
kuca-pavlic-teslina-11-11,Kuća Pavlić,"Teslina 11, 10000 Zagreb, Croatia",Teslina 11,"Teslina 11, 10000 Zagreb, Croatia","[{""raw"":""Teslina 11"",""normalized"":""Teslina 11, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""11""}]","Kuća Mije Pavlića u Teslinoj 11 sagrađena je 1878. prema projektu Janka Jambrišaka. To je ulična dvokatnica sa sedam prozorskih osi i središnjim ulazom. Na neorenesansnom pročelju ističu se prozori u prvome katu iznad kojih su postavljene girlande i segmentni zabati na ukrašenim konzolama. (Lelja Dobronić -1, 1959:34)",Janko Jambrišak,https://www.arhitektura-zagreba.com/zgrade/teslina-11?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Teslina%2011%20%201_6667.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/teslina%2011%20%201_6667.jpg,Unknown
kuca-slavoljuba-i-serafine-deutsch-preradoviceva-5-5,Kuća Slavoljuba i Serafine Deutsch,"Preradovićeva 5 / Teslina 16, 10000 Zagreb, Croatia",Preradovićeva 5 / Teslina 16,"Preradovićeva 5, 10000 Zagreb, Croatia","[{""raw"":""Preradovićeva 5"",""normalized"":""Preradovićeva 5, 10000 Zagreb, Croatia"",""street"":""Preradovićeva"",""house_number"":""5""},{""raw"":""Teslina 16"",""normalized"":""Teslina 16, 10000 Zagreb, Croatia"",""street"":""Teslina"",""house_number"":""16""}]","Kuća Slavoljuba i Serafine Deutsch na uglu Preradovićeva 5 /Teslina 16 sagrađena je 1928./1929. prema projektu Ignjata Fischera. Suradnik mu je bio Milovan Kovačević, a radove je izvelo “Građevno poduzetništvo ing. S. Cernjak i ing. J. Neumann”. To je četverokatnica s jednostrešnim kosim krovom prema ulicama i ravnim krovom prema dvorištu. Na pročelju u Preradovićevoj ulici ističu se balkoni izduženi preko dvije prozorske osi na drugome katu i preko tri središnje osi na trećem katu. Prozorski otvori imaju profilirane okvire. Od tradicionalnih arhitektonskih elemenata zadržani su još samo vijenci. U prizemlju su lokali s velikim ostakljenim otvorima. Prema projektu Vjenceslava Richtera u zgradi je 1964. uređen prostor za potrebe Centra za informacije i kulturu (danas KIC - Kulturno informativni centar).",Ignjat Fischer; Milovan Kovačević,https://www.arhitektura-zagreba.com/zgrade/preradoviceva-5?ulica=teslina,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Preradovi%C4%87eva%205%20%201.1_b1f7.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/preradoviceva%205%20%201.1_b1f7.jpg,Unknown
